categoria,frase
Cartão,Cartão foi roubado
Cartão,Como bloquear cartão?
Cartão,Quero ativar cartão
Cartão,Cartão recusado
Cartão,Como mudar senha?
Cartão,Quero cartão virtual
Cartão,Cartão não passa
Cartão,Segunda via do cartão
Cartão,Cartão venceu
Cartão,Quero cancelar cartão
Cartão,Onde está meu cartão?
Cartão,Cartão com problema
Cartão,Ativar internacional
Cartão,Cartão não funciona online
Cartão,Ver dados do cartão
Cartão,Mudar tipo de cartão
Cartão,Cartão bloqueado
Cartão,Usar cartão virtual
Cartão,Cartão não chegou
Cartão,Adicionar na carteira
Cartão,Cartão inválido
Cartão,Atualizar dados
Cartão,Cartão recusado compra
Cartão,Ver limite do cartão
Cartão,Cartão no exterior
Cartão,Habilitar aproximação
Cartão,Cartão não reconhecido
Cartão,Cartão expirado
Cartão,Quero suporte cartão
Cartão,Cartão bloqueado segurança
Cartão,Ativar cartão novo
Cartão,Cartão não funciona app
Cartão,Problema no cartão
Cartão,Cartão não autorizado
Cartão,Ver status cartão
Cartão,Cartão em análise
Cartão,Cartão cancelado
Cartão,Cartão digital
Cartão,Cartão físico
Cartão,Cartão não funciona hoje
Cartão,Cartão travado
Cartão,Cartão sem contato
Cartão,Cartão recusado online
Cartão,Cartão bloqueado compra
Cartão,Cartão não valida
Cartão,Cartão ativo?
Cartão,Cartão precisa desbloqueio
Cartão,Cartão não aprovado
Cartão,Cartão sem limite
Cartão,Cartão não funciona fora
Cartão,Cartão não aceito
Cartão,Cartão com erro
Cartão,Cartão precisa atualização
Cartão,Cartão não autorizado compra
Cartão,Cartão bloqueado app

Cumprimento,Oi
Cumprimento,Olá
Cumprimento,Bom dia
Cumprimento,Boa tarde
Cumprimento,Boa noite
Cumprimento,Tudo bem?
Cumprimento,Preciso de ajuda
Cumprimento,Pode me ajudar?
Cumprimento,Tem alguém aí?
Cumprimento,Quero falar com suporte
Cumprimento,Estou com uma dúvida
Cumprimento,Pode me atender?
Cumprimento,Oi tudo bem?
Cumprimento,Olá preciso de ajuda
Cumprimento,Bom dia pode ajudar?
Cumprimento,Boa tarde tenho dúvida
Cumprimento,Boa noite pode ajudar?
Cumprimento,Oi preciso resolver algo
Cumprimento,Olá pode me orientar?
Cumprimento,Preciso falar com alguém
Cumprimento,Tem atendimento agora?
Cumprimento,Oi estou com problema
Cumprimento,Olá estou com dificuldade
Cumprimento,Pode dar suporte?
Cumprimento,Oi pode ajudar agora?
Cumprimento,Olá preciso de suporte
Cumprimento,Bom dia preciso ajuda
Cumprimento,Boa tarde preciso suporte
Cumprimento,Boa noite preciso ajuda
Cumprimento,Oi gostaria de informações
Cumprimento,Olá quero ajuda
Cumprimento,Preciso de atendimento
Cumprimento,Oi alguém pode ajudar?
Cumprimento,Olá preciso resolver algo
Cumprimento,Oi pode verificar?
Cumprimento,Olá pode conferir?
Cumprimento,Oi quero suporte
Cumprimento,Olá preciso falar
Cumprimento,Oi estou com dúvida
Cumprimento,Olá pode me ajudar nisso?
